,word1,word2,val
270,편의점,갓생,13129
271,주일,블로그,13125
272,오늘,시험,13124
273,시작,걱정,13111
274,인스타,시작,13103
275,인생,노래,13062
276,커피,선물,13037
277,출근,운동,13033
278,오늘,버스,13029
279,퇴근,운동,12999
280,오늘,성공,12975
281,갓생,감성,12970
282,확인,갓생,12955
283,아무,갓생,12937
284,커피,맛집,12932
285,크림,갓생,12894
286,시작,만족,12886
287,일기,블로그,12856
288,케이크,카페,12851
289,시작,기록,12850
290,주말,블로그,12836
291,점심,수업,12802
292,재미,갓생,12792
293,오늘,기대,12766
294,이유,공부,12752
295,추억,갓생,12738
296,타임,갓생,12725
297,최근,갓생,12716
298,시작,문제,12713
299,선물,공부,12709
300,점심,느낌,12708
301,시작,가족,12700
302,시작,생활,12669
303,카페,주일,12651
304,일상,공부,12630
305,주말,운동,12619
306,이해,갓생,12617
307,교수,갓생,12601
308,새벽,공부,12595
309,사용,갓생,12590
310,연락,갓생,12588
311,챌린지,주간일기,12584
312,파티,갓생,12561
313,의미,갓생,12555
314,포장,갓생,12546
315,다이어트,갓생,12542
316,출근,블로그,12536
317,여행,블로그,12526
318,카페,주문,12507
319,운동,느낌,12502
320,이걸,갓생,12493
321,카페,진심,12475
322,행복,기대,12458
323,오늘,약속,12447
324,카페,시험,12417
325,주문,시작,12394
326,만큼,갓생,12385
327,점심,노래,12378
328,카페,여름,12314
329,나이,갓생,12312
330,사실,갓생,12312
331,행복,진심,12304
332,커피,출근,12300
333,그것,갓생,12287
334,커피,도착,12278
335,개월,갓생,12266
336,원래,갓생,12264
337,카페,성공,12249
338,책,운동,12249
339,인간,시작,12243
340,포스팅,갓생,12243
341,거리,갓생,12235
342,행복,여행,12229
343,피곤,오늘,12228
344,과제,갓생,12194
345,학기,갓생,12179
346,인스타,블로그,12175
347,방학,갓생,12160
348,영어,갓생,12158
349,퇴근,커피,12141
350,피자,갓생,12133
351,카페,발견,12123
352,중간,시작,12117
353,행복,시험,12107
354,커피,인생,12083
355,조합,갓생,12077
356,퇴근,블로그,12068
357,블로그,기대,12057
358,회사,점심,12028
359,행복,성공,12018
360,행복,눈물,12000
361,인생,선물,11999
362,지금,블로그,11989
363,행복,주일,11987
364,카페,영화,11981
365,오늘,마무리,11979
366,신청,갓생,11957
367,학교,선물,11951
